Country,Year,Gender,State Name ,Type Of Area,"Percentage Of Unemployment Rate (Ur)  (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2023",Female,All India,Rural,2.0
India,"Financial Year (Apr - Mar), 2023",Male,All India,Rural,3.0
India,"Financial Year (Apr - Mar), 2023",Total,All India,Rural,2.7
India,"Financial Year (Apr - Mar), 2023",Female,All India,Total,3.2
India,"Financial Year (Apr - Mar), 2023",Male,All India,Total,3.6
India,"Financial Year (Apr - Mar), 2023",Total,All India,Total,3.4
India,"Financial Year (Apr - Mar), 2023",Female,All India,Urban,7.9
India,"Financial Year (Apr - Mar), 2023",Male,All India,Urban,5.0
India,"Financial Year (Apr - Mar), 2023",Total,All India,Urban,5.7
India,"Financial Year (Apr - Mar), 2023",Female,Arunachal  Pradesh,Rural,3.2
India,"Financial Year (Apr - Mar), 2023",Male,Arunachal  Pradesh,Rural,4.8
India,"Financial Year (Apr - Mar), 2023",Total,Arunachal  Pradesh,Rural,4.1
India,"Financial Year (Apr - Mar), 2023",Female,Arunachal  Pradesh,Total,4.7
India,"Financial Year (Apr - Mar), 2023",Male,Arunachal  Pradesh,Total,5.3
India,"Financial Year (Apr - Mar), 2023",Total,Arunachal  Pradesh,Total,5.1
India,"Financial Year (Apr - Mar), 2023",Female,Arunachal  Pradesh,Urban,17.2
India,"Financial Year (Apr - Mar), 2023",Male,Arunachal  Pradesh,Urban,8.1
India,"Financial Year (Apr - Mar), 2023",Total,Arunachal  Pradesh,Urban,11.2
India,"Financial Year (Apr - Mar), 2023",Female,Assam,Rural,2.8
India,"Financial Year (Apr - Mar), 2023",Male,Assam,Rural,1.3
India,"Financial Year (Apr - Mar), 2023",Total,Assam,Rural,1.5
India,"Financial Year (Apr - Mar), 2023",Female,Assam,Total,3.5
India,"Financial Year (Apr - Mar), 2023",Male,Assam,Total,1.3
India,"Financial Year (Apr - Mar), 2023",Total,Assam,Total,1.7
India,"Financial Year (Apr - Mar), 2023",Female,Assam,Urban,13.2
India,"Financial Year (Apr - Mar), 2023",Male,Assam,Urban,3.8
India,"Financial Year (Apr - Mar), 2023",Total,Assam,Urban,6.5
India,"Financial Year (Apr - Mar), 2023",Female,Manipur,Rural,5.2
India,"Financial Year (Apr - Mar), 2023",Male,Manipur,Rural,4.7
India,"Financial Year (Apr - Mar), 2023",Total,Manipur,Rural,4.8
India,"Financial Year (Apr - Mar), 2023",Female,Manipur,Total,4.7
India,"Financial Year (Apr - Mar), 2023",Male,Manipur,Total,5.2
India,"Financial Year (Apr - Mar), 2023",Total,Manipur,Total,5.0
India,"Financial Year (Apr - Mar), 2023",Female,Manipur,Urban,3.8
India,"Financial Year (Apr - Mar), 2023",Male,Manipur,Urban,6.5
India,"Financial Year (Apr - Mar), 2023",Total,Manipur,Urban,5.6
India,"Financial Year (Apr - Mar), 2023",Female,Meghalaya,Rural,6.9
India,"Financial Year (Apr - Mar), 2023",Male,Meghalaya,Rural,3.6
India,"Financial Year (Apr - Mar), 2023",Total,Meghalaya,Rural,5.1
India,"Financial Year (Apr - Mar), 2023",Female,Meghalaya,Total,8.4
India,"Financial Year (Apr - Mar), 2023",Male,Meghalaya,Total,4.4
India,"Financial Year (Apr - Mar), 2023",Total,Meghalaya,Total,6.2
India,"Financial Year (Apr - Mar), 2023",Female,Meghalaya,Urban,18.3
India,"Financial Year (Apr - Mar), 2023",Male,Meghalaya,Urban,8.6
India,"Financial Year (Apr - Mar), 2023",Total,Meghalaya,Urban,12.7
India,"Financial Year (Apr - Mar), 2023",Female,Mizoram,Rural,1.5
India,"Financial Year (Apr - Mar), 2023",Male,Mizoram,Rural,1.0
India,"Financial Year (Apr - Mar), 2023",Total,Mizoram,Rural,1.2
India,"Financial Year (Apr - Mar), 2023",Female,Mizoram,Total,3.1
India,"Financial Year (Apr - Mar), 2023",Male,Mizoram,Total,1.8
India,"Financial Year (Apr - Mar), 2023",Total,Mizoram,Total,2.3
India,"Financial Year (Apr - Mar), 2023",Female,Mizoram,Urban,5.1
India,"Financial Year (Apr - Mar), 2023",Male,Mizoram,Urban,2.7
India,"Financial Year (Apr - Mar), 2023",Total,Mizoram,Urban,3.7
India,"Financial Year (Apr - Mar), 2023",Female,Nagaland,Rural,2.2
India,"Financial Year (Apr - Mar), 2023",Male,Nagaland,Rural,3.9
India,"Financial Year (Apr - Mar), 2023",Total,Nagaland,Rural,3.2
India,"Financial Year (Apr - Mar), 2023",Female,Nagaland,Total,3.8
India,"Financial Year (Apr - Mar), 2023",Male,Nagaland,Total,5.2
India,"Financial Year (Apr - Mar), 2023",Total,Nagaland,Total,4.6
India,"Financial Year (Apr - Mar), 2023",Female,Nagaland,Urban,9.2
India,"Financial Year (Apr - Mar), 2023",Male,Nagaland,Urban,8.9
India,"Financial Year (Apr - Mar), 2023",Total,Nagaland,Urban,9.0
India,"Financial Year (Apr - Mar), 2023",Female,Sikkim,Rural,3.3
India,"Financial Year (Apr - Mar), 2023",Male,Sikkim,Rural,1.6
India,"Financial Year (Apr - Mar), 2023",Total,Sikkim,Rural,2.4
India,"Financial Year (Apr - Mar), 2023",Female,Sikkim,Total,3.4
India,"Financial Year (Apr - Mar), 2023",Male,Sikkim,Total,1.6
India,"Financial Year (Apr - Mar), 2023",Total,Sikkim,Total,2.4
India,"Financial Year (Apr - Mar), 2023",Female,Sikkim,Urban,3.9
India,"Financial Year (Apr - Mar), 2023",Male,Sikkim,Urban,1.7
India,"Financial Year (Apr - Mar), 2023",Total,Sikkim,Urban,2.3
India,"Financial Year (Apr - Mar), 2023",Female,Tripura,Rural,0.7
India,"Financial Year (Apr - Mar), 2023",Male,Tripura,Rural,1.5
India,"Financial Year (Apr - Mar), 2023",Total,Tripura,Rural,1.2
India,"Financial Year (Apr - Mar), 2023",Female,Tripura,Total,1.2
India,"Financial Year (Apr - Mar), 2023",Male,Tripura,Total,1.7
India,"Financial Year (Apr - Mar), 2023",Total,Tripura,Total,1.5
India,"Financial Year (Apr - Mar), 2023",Female,Tripura,Urban,4.0
India,"Financial Year (Apr - Mar), 2023",Male,Tripura,Urban,2.9
India,"Financial Year (Apr - Mar), 2023",Total,Tripura,Urban,3.2
India,"Financial Year (Apr - Mar), 2022",Female,All India,Rural,2.2
India,"Financial Year (Apr - Mar), 2022",Male,All India,Rural,4.3
India,"Financial Year (Apr - Mar), 2022",Total,All India,Rural,3.6
India,"Financial Year (Apr - Mar), 2022",Female,All India,Total,3.7
India,"Financial Year (Apr - Mar), 2022",Male,All India,Total,4.9
India,"Financial Year (Apr - Mar), 2022",Total,All India,Total,4.6
India,"Financial Year (Apr - Mar), 2022",Female,All India,Urban,9.1
India,"Financial Year (Apr - Mar), 2022",Male,All India,Urban,6.4
India,"Financial Year (Apr - Mar), 2022",Total,All India,Urban,7.1
India,"Financial Year (Apr - Mar), 2022",Female,Arunachal Pradesh,Rural,8.6
India,"Financial Year (Apr - Mar), 2022",Male,Arunachal Pradesh,Rural,3.7
India,"Financial Year (Apr - Mar), 2022",Total,Arunachal Pradesh,Rural,4.9
India,"Financial Year (Apr - Mar), 2022",Female,Arunachal Pradesh,Total,9.5
India,"Financial Year (Apr - Mar), 2022",Male,Arunachal Pradesh,Total,4.7
India,"Financial Year (Apr - Mar), 2022",Total,Arunachal Pradesh,Total,6.0
India,"Financial Year (Apr - Mar), 2022",Female,Arunachal Pradesh,Urban,14.3
India,"Financial Year (Apr - Mar), 2022",Male,Arunachal Pradesh,Urban,9.7
India,"Financial Year (Apr - Mar), 2022",Total,Arunachal Pradesh,Urban,10.9
India,"Financial Year (Apr - Mar), 2022",Female,Assam,Rural,5.9
India,"Financial Year (Apr - Mar), 2022",Male,Assam,Rural,3.2
India,"Financial Year (Apr - Mar), 2022",Total,Assam,Rural,3.8
