Country,State,Year,Residence Type,Period From July 2015,Period To June 2016,"Estimated Number Of Workers In Manufacturing (UOM:Number), Scaling Factor:1","Estimated Number Of Workers In Trading (UOM:Number), Scaling Factor:1","Estimated Number Of Workers In Other Services (UOM:Number), Scaling Factor:1","Estimated Number Of Workers In All Sectors (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,2648,5395,4490,12532
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,3331,11153,11875,26359
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,1093383,811004,1035535,2942123
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,855257,763707,1058016,2676980
India,Arunachal Pradesh,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,836,12704,3988,17528
India,Arunachal Pradesh,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,1271,13930,8339,23540
India,Assam,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,304261,554389,303147,1161797
India,Assam,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,81688,343087,228991,653766
India,Bihar,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,830877,1334761,1140288,3309221
India,Bihar,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,386122,844868,766338,1997681
India,Chandigarh,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,606,1147,656,2409
India,Chandigarh,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,21877,44443,60393,126713
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,270063,438599,198211,906873
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,151272,350155,279163,780590
India,Delhi,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,2771,5061,4505,12337
India,Delhi,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,708815,841652,737921,2288609
India,Goa,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,4407,13115,13087,30609
India,Goa,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,24762,55417,49563,129743
India,Gujarat,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,477283,549709,586779,1613771
India,Gujarat,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,2168120,1246227,1089962,4504309
India,Haryana,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,188345,217059,257589,662993
India,Haryana,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,230060,519103,499482,1248645
India,Himachal Pradesh,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,115103,118471,242653,476227
India,Himachal Pradesh,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,25193,65213,81530,171936
India,Jammu And Kashmir,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,195363.35753369753204970392,113952.35444477997090029824,135240.28571773684354963056,444555.99769621434649963272
India,Jammu And Kashmir,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,135812.91603184395390763699,309917.51149321836328578762,176999.35058903508695346795,622729.77811409740414689256
India,Jharkhand,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,640162,627382,562506,1830050
India,Jharkhand,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,113874,300479,258761,673114
India,Karnataka,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,1042215,838524,763612,2644351
India,Karnataka,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,1134117,1788861,1577842,4500819
India,Kerala,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,492009,540781,804480,1837271
India,Kerala,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,519564,905662,1229244,2654471
India,Ladakh,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,4662.64246630246795029608,2719.64555522002909970176,3227.71428226315645036944,10610.00230378565350036728
India,Ladakh,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,2498.08396815604609236301,5700.48850678163671421238,3255.64941096491304653205,11454.22188590259585310744
India,Lakshadweep,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,57,111,106,274
India,Lakshadweep,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,952,910,630,2492
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,865418,718612,626441,2210471
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,588532,1083586,1042234,2714353
India,Maharashtra,"Agriculture Year (Jul - Jun), 2015",Rural, July-2015, June-2016,913777,1149142,852346,2915265
India,Maharashtra,"Agriculture Year (Jul - Jun), 2015",Urban, July-2015, June-2016,1579340,2366947,2261654,6207942
